Date,Close
1/3/2022,268.58
1/4/2022,268.51
1/5/2022,267.19
1/6/2022,269.69
1/7/2022,267.06
1/10/2022,264.41
1/11/2022,262.12
1/12/2022,260.92
1/13/2022,261.41
1/14/2022,257.71
1/18/2022,256.48
1/19/2022,255.22
1/20/2022,253.13
1/21/2022,254.59
1/24/2022,253.61
1/25/2022,250.68
1/26/2022,249.85
1/27/2022,248.74
1/28/2022,256.09
1/31/2022,259.45
2/1/2022,258.99
2/2/2022,262.28
2/3/2022,260.64
2/4/2022,260.06
2/7/2022,259.85
2/8/2022,260.08
2/9/2022,259.86
2/10/2022,256.87
2/11/2022,255.16
2/14/2022,253.39
2/15/2022,253.81
2/16/2022,253.09
2/17/2022,250.93
2/18/2022,250.6
2/22/2022,252.7
2/23/2022,247.79
2/24/2022,245.03
2/25/2022,249.45
2/28/2022,244.77
3/1/2022,239.63
3/2/2022,240.94
3/3/2022,236.65
3/4/2022,235.81
3/7/2022,224.33
3/8/2022,222.79
3/9/2022,222.47
3/10/2022,222
3/11/2022,226.87
3/14/2022,226.18
3/15/2022,232.57
3/16/2022,238.14
3/17/2022,237.47
3/18/2022,238.92
3/21/2022,235.32
3/22/2022,238.12
3/23/2022,236.12
3/24/2022,240.26
3/25/2022,241.58
3/28/2022,242.94
3/29/2022,248.17
3/30/2022,249.03
3/31/2022,247.28
4/1/2022,249.25
4/4/2022,246.83
4/5/2022,248.51
4/6/2022,251.46
4/7/2022,254.36
4/8/2022,251.46
4/11/2022,250.45
4/12/2022,249.17
4/13/2022,251.33
4/14/2022,250.51
4/18/2022,251.06
4/19/2022,255.4
4/20/2022,255.85
4/21/2022,255.25
4/22/2022,250.17
4/25/2022,252.88
4/26/2022,248.58
4/27/2022,247.14
4/28/2022,254.19
4/29/2022,249.16
5/2/2022,246.64
5/3/2022,245.87
5/4/2022,254.32
5/5/2022,248.92
5/6/2022,250.78
5/9/2022,247.49
5/10/2022,245.68
5/11/2022,244.43
5/12/2022,244.19
5/13/2022,245.04
5/16/2022,244.04
5/17/2022,241.63
5/18/2022,231.05
5/19/2022,229
5/20/2022,233.91
5/23/2022,238
5/24/2022,244.52
5/25/2022,244.01
5/26/2022,248.09
5/27/2022,251.87
5/31/2022,252.21
6/1/2022,249.28
6/2/2022,250.38
6/3/2022,248.36
6/6/2022,248.07
6/7/2022,248.94
6/8/2022,245.61
6/9/2022,242.16
6/10/2022,237.38
6/13/2022,238.47
6/14/2022,238.76
6/15/2022,238.9
6/16/2022,235.19
6/17/2022,234.38
6/21/2022,239.59
6/22/2022,243.06
6/23/2022,243.58
6/24/2022,247.9
6/27/2022,247.03
6/28/2022,242.83
6/29/2022,247.74
6/30/2022,246.88
7/1/2022,252.96
7/5/2022,252.29
7/6/2022,251.46
7/7/2022,252.94
7/8/2022,253.24
7/11/2022,253.28
7/12/2022,251.48
7/13/2022,252.67
7/14/2022,252.6
7/15/2022,255.01
7/18/2022,252.42
7/19/2022,256.5
7/20/2022,254.58
7/21/2022,253.47
7/22/2022,253.99
7/25/2022,250.38
7/26/2022,257.09
7/27/2022,258.89
7/28/2022,263.46
7/29/2022,263.37
8/1/2022,264.23
8/2/2022,261.05
8/3/2022,262.09
8/4/2022,260.64
8/5/2022,259.23
8/8/2022,256.8
8/9/2022,260.06
8/10/2022,261.36
8/11/2022,259.28
8/12/2022,262.18
8/15/2022,265.44
8/16/2022,266.29
8/17/2022,266.82
8/18/2022,266.58
8/19/2022,266.54
8/22/2022,262.95
8/23/2022,260.54
8/24/2022,260.86
8/25/2022,262.56
8/26/2022,256.95
8/29/2022,255.66
8/30/2022,253.49
8/31/2022,252.28
9/1/2022,256.47
9/2/2022,254.51
9/6/2022,254.39
9/7/2022,258.42
9/8/2022,260.08
9/9/2022,259.52
9/12/2022,260.37
9/13/2022,254.33
9/14/2022,255.72
9/15/2022,253.47
9/16/2022,254.91
9/19/2022,257.01
9/20/2022,255.4
9/21/2022,251.08
9/22/2022,247.94
9/23/2022,245.95
9/26/2022,243.76
9/27/2022,236.7
9/28/2022,236.94
9/29/2022,234.4
9/30/2022,230.74
10/3/2022,235.34
10/4/2022,238.5
10/5/2022,239.09
10/6/2022,234.75
10/7/2022,233.19
10/10/2022,234.95
10/11/2022,237.05
10/12/2022,237.06
10/13/2022,246.75
10/14/2022,243.16
10/17/2022,246.48
10/18/2022,249.19
10/19/2022,250.75
10/20/2022,249.77
10/21/2022,254.55
10/24/2022,255.32
10/25/2022,255.73
10/26/2022,256.61
10/27/2022,265.11
10/28/2022,274.52
10/31/2022,272.66
11/1/2022,272.95
11/2/2022,270.37
11/3/2022,272.95
11/4/2022,274.62
11/7/2022,276.41
11/8/2022,278.4
11/9/2022,277.79
11/10/2022,275.88
11/11/2022,271.39
11/14/2022,272.27
11/15/2022,267.84
11/16/2022,272.51
11/17/2022,273.36
11/18/2022,273.37
11/21/2022,274.52
11/22/2022,274.76
11/23/2022,273.27
11/25/2022,275
11/28/2022,272.88
11/29/2022,271.41
11/30/2022,272.79
12/1/2022,273.4
12/2/2022,273.4
12/5/2022,271.59
12/6/2022,271.77
12/7/2022,270.34
12/8/2022,273.39
12/9/2022,272.04
12/12/2022,276.62
12/13/2022,274.28
12/14/2022,274.53
12/15/2022,271.73
12/16/2022,266.12
12/19/2022,265.83
12/20/2022,267.25
12/21/2022,268.16
12/22/2022,265.77
12/23/2022,267.57
12/27/2022,266.84
12/28/2022,265.11
12/29/2022,265.93
12/30/2022,263.53